"last_name";"frequency"
"Smith";1.006
"Johnson";0.81
"Williams";0.699
"Jones";0.621
"Brown";0.621
"Davis";0.48
"Miller";0.424
"Wilson";0.339
"Moore";0.312
"Taylor";0.311
"Anderson";0.311
"Thomas";0.311
"Jackson";0.31
"White";0.279
"Harris";0.275
"Martin";0.273
"Thompson";0.269
"Garcia";0.254
"Martinez";0.234
"Robinson";0.233
"Clark";0.231
"Rodriguez";0.229
"Lewis";0.226
"Lee";0.22
"Walker";0.219
"Hall";0.2
"Allen";0.199
"Young";0.193
"Hernandez";0.192
"King";0.19
"Wright";0.189
"Lopez";0.187
"Hill";0.187
"Scott";0.185
"Green";0.183
"Adams";0.174
"Baker";0.171
"Gonzalez";0.166
"Nelson";0.162
"Carter";0.162
"Mitchell";0.16
"Perez";0.155
"Roberts";0.153
"Turner";0.152
"Phillips";0.149
"Campbell";0.149
"Parker";0.146
"Evans";0.141
"Edwards";0.137
"Collins";0.134
"Stewart";0.133
"Sanchez";0.13
"Morris";0.125
"Rogers";0.123
"Reed";0.122
"Cook";0.12
"Morgan";0.118
"Bell";0.117
"Murphy";0.117
"Bailey";0.115
"Rivera";0.113
"Cooper";0.113
"Richardson";0.112
"Cox";0.11
"Howard";0.11
"Ward";0.108
"Torres";0.108
"Peterson";0.107
"Gray";0.106
"Ramirez";0.105
"James";0.105
"Watson";0.103
"Brooks";0.103
"Kelly";0.102
"Sanders";0.1
"Price";0.099
"Bennett";0.099
"Wood";0.098
"Barnes";0.097
"Ross";0.096
"Henderson";0.095
"Coleman";0.095
"Jenkins";0.095
"Perry";0.094
"Powell";0.093
"Long";0.092
"Patterson";0.092
"Hughes";0.092
"Flores";0.092
"Washington";0.092
"Butler";0.091
"Simmons";0.091
"Foster";0.091
"Gonzales";0.087
"Bryant";0.087
"Alexander";0.085
"Russell";0.085
"Griffin";0.084
"Diaz";0.084
"Hayes";0.083
"Myers";0.083
"Ford";0.082
"Hamilton";0.082
"Graham";0.082
"Sullivan";0.081
"Wallace";0.081
"Woods";0.08
"Cole";0.08
"West";0.08
"Jordan";0.078
"Owens";0.078
"Reynolds";0.078
"Fisher";0.077
"Ellis";0.077
"Harrison";0.076
"Gibson";0.075
"McDonald";0.075
"Cruz";0.075
"Marshall";0.075
"Ortiz";0.075
"Gomez";0.075
"Murray";0.074
"Freeman";0.074
"Wells";0.073
"Webb";0.072
"Simpson";0.07
"Stevens";0.07
"Tucker";0.07
"Porter";0.069
"Hunter";0.069
"Hicks";0.069
"Crawford";0.068
"Henry";0.068
"Boyd";0.068
"Mason";0.068
"Morales";0.067
"Kennedy";0.067
"Warren";0.067
"Dixon";0.066
"Ramos";0.066
"Reyes";0.066
"Burns";0.065
"Gordon";0.065
"Shaw";0.065
"Holmes";0.065
"Rice";0.064
"Robertson";0.064
"Hunt";0.063
"Black";0.063
"Daniels";0.062
"Palmer";0.062
"Mills";0.061
"Nichols";0.06
"Grant";0.06
"Knight";0.06
"Ferguson";0.059
"Rose";0.059
"Stone";0.059
"Hawkins";0.059
"Dunn";0.058
"Perkins";0.058
"Hudson";0.058
"Spencer";0.057
"Gardner";0.057
"Stephens";0.057
"Payne";0.057
"Pierce";0.056
"Berry";0.056
"Matthews";0.056
"Arnold";0.056
"Wagner";0.055
"Willis";0.055
"Ray";0.055
"Watkins";0.055
"Olson";0.055
"Carroll";0.055
"Duncan";0.055
"Snyder";0.055
"Hart";0.054
"Cunningham";0.054
"Bradley";0.054
"Lane";0.054
"Andrews";0.054
"Ruiz";0.054
"Harper";0.054
"Fox";0.053
"Riley";0.053
"Armstrong";0.053
"Carpenter";0.053
"Weaver";0.053
"Greene";0.053
"Lawrence";0.052
"Elliott";0.052
"Chavez";0.052
"Sims";0.052
"Austin";0.052
"Peters";0.052
"Kelley";0.052
"Franklin";0.051
"Lawson";0.051
"Fields";0.051
"Gutierrez";0.051
"Ryan";0.051
"Schmidt";0.051
"Carr";0.051
"Vasquez";0.051
"Castillo";0.051
"Wheeler";0.051
"Chapman";0.05
"Oliver";0.05
"Montgomery";0.049
"Richards";0.049
"Williamson";0.049
"Johnston";0.049
"Banks";0.048
"Meyer";0.048
"Bishop";0.048
"McCoy";0.048
"Howell";0.048
"Alvarez";0.048
"Morrison";0.048
"Hansen";0.047
"Fernandez";0.047
"Garza";0.047
"Harvey";0.047
"Little";0.046
"Burton";0.046
"Stanley";0.046
"Nguyen";0.046
"George";0.046
"Jacobs";0.046
"Reid";0.046
"Kim";0.045
"Fuller";0.045
"Lynch";0.045
"Dean";0.045
"Gilbert";0.045
"Garrett";0.045
"Romero";0.045
"Welch";0.044
"Larson";0.044
"Frazier";0.044
"Burke";0.044
"Hanson";0.043
"Day";0.043
"Mendoza";0.043
"Moreno";0.043
"Bowman";0.043
"Medina";0.042
"Fowler";0.042
"Brewer";0.042
"Hoffman";0.042
"Carlson";0.042
"Silva";0.042
"Pearson";0.042
"Holland";0.042
"Douglas";0.041
"Fleming";0.041
"Jensen";0.041
"Vargas";0.041
"Byrd";0.041
"Davidson";0.041
"Hopkins";0.041
"May";0.04
"Terry";0.04
"Herrera";0.04
"Wade";0.04
"Soto";0.04
"Walters";0.04
"Curtis";0.04
"Neal";0.039
"Caldwell";0.039
"Lowe";0.039
"Jennings";0.039
"Barnett";0.039
"Graves";0.039
"Jimenez";0.039
"Horton";0.039
"Shelton";0.039
"Barrett";0.039
"Obrien";0.039
"Castro";0.039
"Sutton";0.038
"Gregory";0.038
"McKinney";0.038
"Lucas";0.038
"Miles";0.038
"Craig";0.038
"Rodriquez";0.037
"Chambers";0.037
"Holt";0.037
"Lambert";0.037
"Fletcher";0.037
"Watts";0.037
"Bates";0.037
"Hale";0.037
"Rhodes";0.037
"Pena";0.037
"Beck";0.037
"Newman";0.036
"Haynes";0.036
"McDaniel";0.036
"Mendez";0.036
"Bush";0.036
"Vaughn";0.036
"Parks";0.035
"Dawson";0.035
"Santiago";0.035
"Norris";0.035
"Hardy";0.035
"Love";0.035
"Steele";0.035
"Curry";0.035
"Powers";0.035
"Schultz";0.035
"Barker";0.035
"Guzman";0.034
"Page";0.034
"Munoz";0.034
"Ball";0.034
"Keller";0.034
"Chandler";0.034
"Weber";0.034
"Leonard";0.034
"Walsh";0.033
"Lyons";0.033
"Ramsey";0.033
"Wolfe";0.033
"Schneider";0.033
"Mullins";0.033
"Benson";0.033
"Sharp";0.033
"Bowen";0.033
"Daniel";0.033
"Barber";0.032
"Cummings";0.032
"Hines";0.032
"Baldwin";0.032
"Griffith";0.032
"Valdez";0.032
"Hubbard";0.032
"Salazar";0.032
"Reeves";0.032
"Warner";0.031
"Stevenson";0.031
"Burgess";0.031
"Santos";0.031
"Tate";0.031
"Cross";0.031
"Garner";0.031
"Mann";0.031
"Mack";0.031
"Moss";0.031
"Thornton";0.031
"Dennis";0.031
"McGee";0.031
"Farmer";0.03
"Delgado";0.03
"Aguilar";0.03
"Vega";0.03
"Glover";0.03
"Manning";0.03
"Cohen";0.03
"Harmon";0.03
"Rodgers";0.03
"Robbins";0.03
"Newton";0.03
"Todd";0.03
"Blair";0.03
"Higgins";0.03
"Ingram";0.03
"Reese";0.03
"Cannon";0.03
"Strickland";0.03
"Townsend";0.03
"Potter";0.03
"Goodwin";0.03
"Walton";0.03
"Rowe";0.029
"Hampton";0.029
"Ortega";0.029
"Patton";0.029
"Swanson";0.029
"Joseph";0.029
"Francis";0.029
"Goodman";0.029
"Maldonado";0.029
"Yates";0.029
"Becker";0.029
"Erickson";0.029
"Hodges";0.029
